backers_count,Blurb length,Blurb caps,Category,Category (parent only),country,campaign length (deadline - launched at,decision timing (state changed - launched at),fx_rate,goal,Name Length,Name Caps,spotlight,staff_pick,State,usd_pledged
1,128,9,"food/small batch""",food,US,1036800,1036800,1,80,23,3,FALSE,FALSE,0,1.0
64,118,2,"food/small batch""",food,FR,2592000,2592000,1.1753395,2400,54,2,TRUE,FALSE,1,3409.28173758
7,133,9,"photography/photobooks""",photography,GB,4320000,4320000,1.29135567,8750,17,4,FALSE,FALSE,0,1121.49294844
3,128,6,"fashion/jewelry""",fashion,CA,2588400,2588400,0.75574365,900,60,8,FALSE,FALSE,0,64.6959240484
30,108,6,"music/rock""",music,AU,2592000,2592000,0.72636675,2500,35,6,TRUE,FALSE,1,2813.34218515
19,126,5,"photography/photobooks""",photography,US,2592000,2592000,1,8750,56,9,FALSE,FALSE,0,1800.0
18,130,11,"music/rock""",music,US,3103335,3103355,1,1000,57,5,TRUE,FALSE,1,1005.0
13,131,3,"technology/diy electronics""",technology,NL,5184000,5184000,1.1753395,38000,55,3,FALSE,FALSE,0,1340.9918838
123,132,20,"technology/sound""",technology,FR,2592000,2592000,1.1753395,20000,60,16,TRUE,FALSE,1,39210.174173120000
80,97,1,"film & video/fantasy""",film & video,US,2592000,2592000,1,25000,52,10,TRUE,FALSE,1,27516.0
145,102,6,"food""",food,US,2820494,2820495,1,15000,39,3,TRUE,FALSE,1,19555.0
72,126,1,"dance/residencies""",dance,US,2583540,2583540,1,5500,54,8,TRUE,FALSE,1,6095.0
206,130,20,"music/rock""",music,US,2874521,2874537,1,10000,42,5,TRUE,FALSE,1,19465.0
342,129,5,"photography/photobooks""",photography,DE,2592000,2592000,1.1753395,15000,40,5,TRUE,TRUE,1,23777.944937760000
4,114,2,"technology/web""",technology,US,2592000,2592000,1,30000,38,2,FALSE,FALSE,0,4.0
78,105,1,"food/spaces""",food,GB,2588400,2588401,1.29135567,5000,46,4,TRUE,TRUE,1,7046.1020733
7,94,8,"games/playing cards""",games,DE,2588400,2588400,1.1753395,19300,6,1,FALSE,FALSE,0,95.32543803
10,133,8,"music/classical music""",music,US,2355876,2355888,1,15000,55,10,FALSE,FALSE,0,1115.0
19,116,2,"food/small batch""",food,US,2592000,2161964,1,10000,49,5,FALSE,FALSE,0,1377.0
3,132,5,"music/rock""",music,DK,2592000,2592001,0.15799139,5,35,4,TRUE,FALSE,1,21.9649016
62,135,12,"food/restaurants""",food,US,2592000,2592000,1,10000,30,6,TRUE,FALSE,1,13062.0
16,133,4,"publishing/art books""",publishing,US,2592000,2592003,1,1500,40,5,FALSE,FALSE,0,555.0
90,100,7,"music/rock""",music,US,2592000,2592000,1,4000,42,17,TRUE,FALSE,1,4347.41
79,71,5,"food""",food,CA,2592000,2592059,0.75574365,12000,16,3,TRUE,FALSE,1,10364.122549923500
154,134,3,"film & video/documentary""",film & video,US,2073600,2073600,1,14500,21,3,TRUE,TRUE,1,14811.0
169,107,4,"film & video/documentary""",film & video,US,2592000,2592000,1,10000,22,4,TRUE,FALSE,1,15051.0
105,131,7,"film & video/documentary""",film & video,US,2592000,2592002,1,5000,57,9,TRUE,FALSE,1,5242.0
20,118,7,"music/classical music""",music,US,1814400,1814453,1,650,60,4,TRUE,FALSE,1,901.11
40,135,7,"food/drinks""",food,DE,2592000,2592000,1.1753395,10000,24,3,TRUE,FALSE,1,12102.1452176
157,90,3,"food/restaurants""",food,GB,2592000,2592000,1.29135567,15000,48,10,TRUE,FALSE,1,19558.584729600000
134,130,17,"music/rock""",music,GB,3032843,3032843,1.29135567,4000,17,5,TRUE,FALSE,1,5116.1485354
290,130,4,"games/playing cards""",games,US,3283200,3283200,1,8000,35,5,TRUE,FALSE,1,10024.33
3,127,6,"photography/photobooks""",photography,US,3888000,3888000,1,75000,25,6,FALSE,FALSE,0,21.0
17,123,2,"film & video/documentary""",film & video,DK,3456000,3456002,0.15799139,6500,13,2,TRUE,FALSE,1,954.95366508
28,135,27,"technology/sound""",technology,US,4870170,4870170,1,21000,25,3,FALSE,FALSE,0,1027.0
528,114,1,"food/drinks""",food,NO,2592000,2592003,0.10984025,250000,41,7,TRUE,TRUE,1,50318.225152260000
3,129,1,"music/classical music""",music,US,2592000,2592000,1,1000,38,2,FALSE,FALSE,0,100.0
73,124,8,"music/rock""",music,US,3234614,3234614,1,3500,34,5,TRUE,FALSE,1,3855.0
89,74,6,"music/classical music""",music,IT,5184000,5184001,1.1753395,5000,44,5,TRUE,FALSE,1,5845.57014912
25,135,2,"fashion/childrenswear""",fashion,US,2592000,2592001,1,5000,57,8,TRUE,FALSE,1,5243.0
630,134,11,"music/rock""",music,US,2592000,2592000,1,20000,47,5,TRUE,FALSE,1,35765.010000000000
4,129,5,"music/classical music""",music,US,3391406,3391407,1,700,57,3,FALSE,FALSE,0,175.0
180,134,4,"food/vegan""",food,US,2592000,2592000,1,8000,33,5,TRUE,TRUE,1,11147.0
356,135,6,"food/restaurants""",food,GB,2853364,2853366,1.29135567,40000,41,4,TRUE,TRUE,1,55689.079834020000
114,116,2,"food""",food,US,2645250,2645250,1,30000,60,9,TRUE,FALSE,1,30977.0
64,130,7,"food/restaurants""",food,US,5129794,5129797,1,20000,15,2,TRUE,FALSE,1,20104.0
14,32,27,"fashion/jewelry""",fashion,NL,2592000,2592000,1.1753395,15000,58,9,FALSE,FALSE,0,3106.57722804
61,133,11,"technology/diy electronics""",technology,US,888084,888084,1,1,59,6,TRUE,FALSE,1,9605.0
482,78,7,"games/playing cards""",games,US,3456000,3456016,1,15000,46,10,TRUE,FALSE,1,16777.010000000000
9,72,1,"publishing/art books""",publishing,US,2592000,2592001,1,3000,40,2,FALSE,FALSE,0,167.0
